C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:46:20

Vmag < 5 & otype = 'Star'
-------------------------

Number of objects : 1651

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
562 |* psi Vir                          |LP*|12 54 21.1630369857 -09 32 20.360128902|7.94     |6.39     |4.80     |3.23     |1.95     |M3-III               | 169 |   0
563 |* mu. And                          |PM*|00 56 45.2090751570 +38 29 57.603377713|4.14     |3.99     |3.87     |3.72     |3.64     |A6V                  | 223 |   0
564 |* zet Pyx                          |PM*|08 39 42.4740344784 -29 33 39.904538472|     ~   |5.777    |4.872    |     ~   |     ~   |G6IIIbCN-0.5         |  65 |   0
565 |NAME * f Pup AB                    |** |07 37 22.106404 -34 58 06.73542        |     ~   |4.70     |4.83     |     ~   |     ~   |~                    |   2 |   0
566 |V* ET UMa                          |a2*|10 24 07.8468791760 +65 33 59.121373140|     ~   |4.889    |4.930    |     ~   |     ~   |A1:VpSiSrHg          | 281 |   0
567 |HD 50235                           |*  |06 50 52.3516239000 -34 22 02.346072600|     ~   |6.370    |4.989    |     ~   |     ~   |K2/3III              |  37 |   0
568 |* eta Cap                          |** |21 04 24.2968539274 -19 51 18.330775981|5.07     |5.02     |4.84     |4.68     |4.61     |A5V                  | 119 |   0
569 |* gam Pyx                          |PM*|08 50 31.9225999562 -27 42 35.429733075|6.67     |5.27     |4.01     |3.06     |2.39     |K2.5III              | 119 |   0
570 |* chi Psc                          |*  |01 11 27.2186959251 +21 02 04.737004940|     ~   |5.679    |4.658    |     ~   |     ~   |G8.5III              | 128 |   0
571 |* 11 Lac                           |PM*|22 40 30.8584750462 +44 16 34.706857320|7.15     |5.79     |4.46     |3.54     |2.86     |K2.5III              | 144 |   0
572 |* tet Col                          |*  |06 07 31.6328242248 -37 15 10.509229800|     ~   |4.888    |4.994    |     ~   |     ~   |B7III                |  46 |   0
573 |* 7 CrB A                          |SB*|15 39 22.6728430896 +36 38 08.919815568|     ~   |4.871    |4.979    |     ~   |     ~   |B7V                  |  94 |   0
574 |* e UMa                            |dS*|09 16 11.3270161512 +54 01 18.686385192|     ~   |4.995    |4.805    |     ~   |4.58     |A6V                  | 145 |   0
575 |* ksi Col                          |*  |05 55 29.9148208896 -37 07 14.459369592|     ~   |6.058    |4.961    |     ~   |     ~   |K1IIICNII            |  39 |   0
576 |* iot Cet                          |*  |00 19 25.6743948847 -08 49 26.108975369|5.94     |4.77     |3.55     |2.70     |2.11     |K1+IIICN0.5          | 187 |   0
577 |* bet Phe B                        |*  |01 06 05.047709 -46 43 06.25441        |     ~   |4.98     |4.09     |     ~   |     ~   |~                    |   1 |   0
578 |* r Car                            |V* |10 35 35.2978599894 -57 33 27.480964912|     ~   |6.043    |4.430    |     ~   |     ~   |K3II-IIb             |  36 |   0
579 |HD 166208                          |SB*|18 07 28.7442485448 +43 27 42.802503948|     ~   |5.915    |4.997    |     ~   |     ~   |G8IIICN-1CH-3        | 157 |   0
580 |* eps Boo B                        |*  |14 44 59.1497672913 +27 04 29.948119279|6.81     |4.853    |4.801    |     ~   |     ~   |A0V                  |  47 |   0
581 |* zet Crt                          |** |11 44 45.7759757256 -18 21 02.434939560|     ~   |5.677    |4.706    |     ~   |     ~   |G8.5III              | 100 |   0
582 |* l Aql                            |SB*|20 38 20.2844885280 -01 06 18.422101548|5.98     |5.29     |4.33     |3.66     |3.20     |G7.5IIIa             |  99 |   0
583 |* d Per                            |bC*|04 21 33.1662438000 +46 29 55.964841936|4.31     |4.757    |4.812    |     ~   |     ~   |B4IV                 | 198 |   0
584 |* eps Cap                          |Be*|21 37 04.8311169408 -19 27 57.640399810|3.69     |4.35     |4.55     |4.60     |4.74     |B3V                  | 259 |   0
585 |* bet Psc                          |Be*|23 03 52.6132153632 +03 49 12.164302217|3.90     |4.40     |4.52     |4.54     |4.67     |B6Ve                 | 255 |   0
586 |* lam Lyr                          |V* |19 00 00.8256630552 +32 08 43.847562840|     ~   |6.401    |4.930    |     ~   |     ~   |K2.5III:Ba0.5        | 120 |   0
587 |* tau Cet                          |PM*|01 44 04.0831371922 -15 56 14.927607677|4.43     |4.22     |3.50     |2.88     |2.41     |G8V                  |1309 |   1
588 |* 74 Oph                           |*  |18 20 52.0636719528 +03 22 37.790695740|     ~   |5.764    |4.856    |     ~   |     ~   |G8III                | 114 |   0
589 |* mu. Ser                          |** |15 49 37.20696 -03 25 48.7358          |3.39     |3.49     |3.53     |3.54     |3.59     |B9.5III              | 117 |   0
590 |V* BH CVn                          |RS*|13 34 47.8087660104 +37 10 56.691826860|5.43     |5.38     |4.98     |4.57     |4.27     |A6m                  | 343 |   0
591 |* del01 Tel                        |SB*|18 31 45.4332029617 -45 54 53.325000958|4.38     |4.804    |4.920    |     ~   |     ~   |B5/7                 |  60 |   0
592 |* 4 UMi                            |SB*|14 08 50.9261147184 +77 32 51.035212788|     ~   |6.177    |4.805    |     ~   |     ~   |K3-IIIbFe-0.5        | 112 |   0
593 |* gam01 And                        |*  |02 03 53.95229 +42 19 47.0223          |4.22     |3.30     |2.10     |1.16     |0.47     |K2+IIb               | 350 |   0
594 |* psi Vel                          |** |09 30 41.99958 -40 28 00.2616          |3.89     |3.96     |3.60     |3.24     |3.02     |F3VFe-0.7            | 123 |   0
595 |* iot Her                          |bC*|17 39 27.8868980278 +46 00 22.792978043|2.940    |3.630    |3.800    |     ~   |     ~   |B3IV                 | 460 |   0
596 |* lam Tel                          |*  |18 58 27.7688562561 -52 56 19.058991290|     ~   |4.786    |4.838    |     ~   |     ~   |B9.5IV/V             |  49 |   0
597 |* B Car                            |SB*|08 09 00.6369168474 -61 18 08.545898653|     ~   |5.163    |4.742    |     ~   |     ~   |F6VFe-0.8CH-0.4      | 171 |   0
598 |* h UMa                            |PM*|09 31 31.7080711355 +63 03 42.695823224|4.10     |4.00     |3.67     |3.33     |3.15     |F0V                  | 145 |   0
599 |* mu. Nor                          |s*b|16 34 05.0193637737 -44 02 43.120603946|4.05     |4.99     |4.94     |6.36     |     ~   |O9.7Iab              | 282 |   0
600 |* zet Ara                          |*  |16 58 37.2125360584 -55 59 24.499906233|     ~   |4.701    |3.076    |     ~   |     ~   |K3III                | 103 |   0
601 |* chi Cas                          |*  |01 33 55.8814773504 +59 13 55.394091516|     ~   |5.675    |4.681    |     ~   |     ~   |G9IIIb               | 128 |   0
602 |* b Leo                            |Pe*|11 02 19.7756641720 +20 10 47.424184800|     ~   |4.452    |4.398    |     ~   |     ~   |kA1VmA3V             | 181 |   0
603 |* pi. Peg                          |RG*|22 09 59.2430193207 +33 10 41.600399246|4.93     |4.75     |4.29     |3.90     |3.63     |F5II-III_sh          | 137 |   0
604 |* 2 Cyg                            |** |19 24 07.5783613224 +29 37 16.808049156|4.16     |4.851    |4.977    |     ~   |     ~   |B3/4+B6/9            | 132 |   0
605 |* eta Aql                          |cC*|19 52 28.3689223781 +01 00 20.371980515|5.12     |4.61     |3.80     |     ~   |3.030    |F6Iab+B9.8V          | 691 |   0
606 |* tet Car                          |SB*|10 42 57.4019674 -64 23 40.020796      |1.53     |2.54     |2.76     |2.87     |3.10     |B0Vp                 | 347 |   0
607 |* gam Cen                          |** |12 41 31.04008 -48 57 35.5375          |2.15     |2.16     |2.17     |2.14     |2.14     |A1IV+A0IV            | 131 |   0
608 |* eta Per                          |*  |02 50 41.8099734665 +55 53 43.779721818|7.38     |5.48     |3.79     |2.56     |1.67     |K3-Ib-IIa            | 221 |   0
609 |* m Vel                            |SB*|09 51 40.6683101976 -46 32 51.440101044|6.77     |5.78     |4.58     |3.75     |3.12     |G6IIa                |  41 |   0
610 |* eps TrA                          |PM*|15 36 43.2228431626 -66 19 01.335451680|     ~   |5.270    |4.104    |     ~   |     ~   |K1/2III              |  55 |   0
611 |* 37 LMi                           |*  |10 38 43.2128104658 +31 58 34.463378806|     ~   |5.494    |4.677    |     ~   |     ~   |G2.5IIIa             | 159 |   0
612 |* eps Ret                          |PM*|04 16 29.0281470260 -59 18 07.755891304|6.59     |5.52     |4.44     |3.62     |3.08     |K2III                | 255 |   1
613 |* ksi Pav                          |SB*|18 23 13.6373235096 -61 29 38.082918192|     ~   |5.834    |4.367    |     ~   |     ~   |K4III                |  60 |   0
614 |* 30 Gem                           |PM*|06 43 59.2871476656 +13 13 40.799645724|6.82     |5.65     |4.49     |3.63     |3.03     |K0+IIICa1            | 152 |   0
615 |* 60 Sgr                           |*  |19 58 57.2021818392 -26 11 44.744911476|     ~   |5.735    |4.846    |     ~   |     ~   |G6III                |  65 |   0
616 |* h Eri                            |HB*|03 42 50.0549075287 -37 18 48.660549379|     ~   |5.783    |4.583    |     ~   |     ~   |K1.5IIIbCN0.5        |  73 |   0
617 |* omi Hya                          |*  |11 40 12.7895139786 -34 44 40.770000758|4.41     |4.63     |4.70     |4.69     |4.74     |B9V                  |  72 |   0
618 |* 31 Ori                           |V* |05 29 43.9820095248 -01 05 32.058334392|     ~   |6.28     |4.71     |     ~   |     ~   |K4III                |  96 |   0
619 |* 70 Oph                           |SB*|18 05 27.28518 +02 30 00.3558          |5.40     |4.89     |4.03     |3.38     |2.92     |K0-V                 | 664 |   0
620 |* tet CrB                          |Be*|15 32 55.78214 +31 21 32.8762          |3.45     |4.00     |4.13     |4.18     |4.29     |B6Vnne               | 294 |   0
621 |* alf Lep                          |V* |05 32 43.8161188 -17 49 20.241380      |3.02     |2.77     |2.57     |2.35     |2.14     |F0Ib                 | 285 |   0
622 |* alf Ret                          |PM*|04 14 25.4700044050 -62 28 25.692560378|4.90     |4.27     |3.36     |2.71     |2.27     |G8IIIa:              | 126 |   0
623 |* alf CrA                          |PM*|19 09 28.3415149600 -37 54 16.107840507|     ~   |4.146    |4.087    |     ~   |     ~   |A2Va                 | 117 |   0
624 |* m Cen                            |*  |13 24 00.4826883840 -64 32 08.411490672|5.85     |5.35     |4.52     |     ~   |     ~   |G5IIb                |  50 |   0
625 |* zet Tel                          |PM*|18 28 49.8593702175 -49 04 14.117954578|     ~   |5.12     |4.11     |     ~   |     ~   |K1III-IV             |  57 |   0
626 |* nu. Tuc                          |LP?|22 33 00.0617122198 -61 58 55.638546186|8.17     |6.42     |4.81     |     ~   |     ~   |M4III                |  53 |   0
627 |* rho Her                          |** |17 23 40.9441257 +37 08 45.394049      |4.11     |4.17     |4.17     |     ~   |     ~   |A0III+B9.5IVn        |  90 |   0
628 |* lam Dra                          |V* |11 31 24.2216743198 +69 19 51.872628403|7.44     |5.47     |3.85     |2.54     |1.55     |M0III-IIIaCa1        | 137 |   0
629 |* ups Psc                          |*  |01 19 27.9936531058 +27 15 50.611158841|     ~   |4.789    |4.748    |     ~   |     ~   |A3V                  |  94 |   0
630 |* 52 Her                           |a2*|16 49 14.21821 +45 58 59.9620          |     ~   |4.914    |4.823    |     ~   |     ~   |A1VpSiSrCr           | 262 |   0
631 |* phi01 Pav                        |PM*|20 35 34.8500676912 -60 34 54.296843484|     ~   |5.036    |4.745    |     ~   |     ~   |F0V                  |  84 |   0
632 |* omi Per                          |SB*|03 44 19.1337687984 +32 17 17.687367960|3.13     |3.91     |3.91     |3.71     |3.71     |B1III                | 620 |   0
633 |V* V Pup                           |SB*|07 58 14.4385627944 -49 14 41.694740016|3.28     |4.24     |4.41     |     ~   |     ~   |B1Vp+B2:             | 253 |   0
634 |* iot01 Sco                        |s*y|17 47 35.0794702956 -40 07 37.190504381|     ~   |3.492    |2.992    |     ~   |     ~   |F2Ia                 | 118 |   0
635 |* B Vel                            |SB*|08 22 31.69411 -48 29 25.3631          |3.83     |4.67     |4.82     |4.86     |4.99     |B2III                |  90 |   0
636 |* e Her                            |PM*|17 17 40.2531980520 +37 17 29.422635288|4.67     |4.70     |4.65     |4.56     |4.56     |A2V                  |  98 |   0
637 |* eta CrB                          |** |15 23 12.30535 +30 17 16.1701          |5.60     |5.56     |4.98     |4.50     |4.22     |G2V+G2V              | 196 |   0
638 |* alf02 Cap                        |PM*|20 18 03.2555957142 -12 32 41.467632703|5.20     |4.51     |3.58     |2.91     |2.42     |G9III                | 178 |   0
639 |* omi01 CMa                        |s*r|06 54 07.9522701192 -24 11 03.159501504|7.59     |5.60     |3.87     |2.70     |1.88     |K2Iab                | 182 |   0
640 |* l Vir                            |PM*|13 31 57.8846531989 -06 15 20.943579009|8.25     |6.29     |4.69     |3.23     |2.07     |M2.5III              |  89 |   0
641 |* sig Sgr                          |** |18 55 15.92650 -26 17 48.2068          |1.06     |1.923    |2.067    |     ~   |     ~   |B2.5V                | 279 |   1
642 |* ome Per                          |*  |03 11 17.3819765876 +39 36 41.691289838|     ~   |5.728    |4.607    |     ~   |     ~   |K0III                | 108 |   0
643 |* gam Peg                          |bC*|00 13 14.1523490172 +15 11 00.954346538|1.75     |2.61     |2.84     |2.94     |3.13     |B2IV                 | 709 |   0
644 |* f01 Cyg                          |Be*|20 59 49.5541247496 +47 31 15.363746436|3.77     |4.71     |4.75     |4.62     |4.63     |B1.5Vnne             | 508 |   0
645 |* sig Cet                          |** |02 32 05.1877984910 -15 14 41.653561505|5.19     |5.20     |4.75     |4.34     |4.07     |F5V                  | 213 |   0
646 |* del Mon                          |*  |07 11 51.8604729967 -00 29 33.961811515|     ~   |4.14     |4.15     |     ~   |     ~   |A0IV                 |  98 |   0
647 |* lam Boo                          |dS*|14 16 23.0184083839 +46 05 17.895459693|4.31     |4.26     |4.18     |4.16     |4.13     |A0Va_lB              | 355 |   0
648 |* f Tau                            |SB*|03 30 52.3775767512 +12 56 12.010703172|6.25     |5.23     |4.10     |3.33     |2.79     |K0-III               | 109 |   0
649 |* del Cet                          |bC*|02 39 28.9568473856 +00 19 42.631195332|2.97     |3.85     |4.07     |     ~   |     ~   |B2IV                 | 388 |   0
650 |* phi01 Cet                        |PM*|00 44 11.4000904231 -10 36 34.382643011|     ~   |5.773    |4.767    |     ~   |     ~   |K0III                | 119 |   0
651 |* zet Gem                          |cC*|07 04 06.5312384690 +20 34 13.074474962|5.20     |4.58     |3.79     |     ~   |3.082    |G1Ib                 | 586 |   0
